,ranking,domain,org_name,time_difference_in_seconds_float,crypto_algorithm,pub_key_len,pub_key_exp,sign_alg
0,ranking,domain,,,,,,
1,2000,loopme.me,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
2,3000,spotim.market,ZeroSSL,7862399.0,,2048.0,65537.0,b'sha384WithRSAEncryption'
3,4000,hbs.edu,,,,,,
4,5000,bhg.com,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
5,6000,worldstarhiphop.com,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
6,7000,huedatastore.com,,,,,,
7,8000,tokyo-sports.co.jp,GlobalSign nv-sa,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
8,9000,988lifeline.org,"Cloudflare, Inc.",31622399.0,,256.0,,b'ecdsa-with-SHA256'
9,10000,kolkataff.fun,Google Trust Services LLC,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
10,11000,logitechg.com,Amazon,34214399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
11,12000,udemycdn.com,,,,,,
12,13000,doh.pub,"TrustAsia Technologies, Inc.",31622399.0,,256.0,,b'ecdsa-with-SHA256'
13,14000,dnse0.com,,,,,,
14,15000,darkreading.com,"Cloudflare, Inc.",31622399.0,,256.0,,b'ecdsa-with-SHA256'
15,16000,wadax-sv.jp,,,,,,
16,17000,merckmanuals.com,Sectigo Limited,31622399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
17,18000,harpers.org,Let's Encrypt,7775999.0,,256.0,,b'ecdsa-with-SHA384'
18,19000,4gamer.net,Nijimo K.K.,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
19,20000,mangatown.com,Google Trust Services LLC,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
20,21000,guardingvisionru.com,,,,,,
21,22000,videos-zoofilia.com,"Cloudflare, Inc.",30067199.0,,256.0,,b'ecdsa-with-SHA256'
22,23000,keonhacai5.top,Google Trust Services LLC,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
23,24000,tobii.com,"DigiCert, Inc.",15811199.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
24,25000,routeviews.org,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
25,26000,wbez.org,Amazon,34041599.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
26,27000,engie.fr,DigiCert Inc,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
27,28000,acertb.com,Let's Encrypt,7775999.0,,256.0,,b'ecdsa-with-SHA384'
28,29000,trinet.com,Let's Encrypt,7775999.0,,256.0,,b'sha256WithRSAEncryption'
29,30000,incometaxgujarat.org,Let's Encrypt,7775999.0,,256.0,,b'ecdsa-with-SHA384'
30,31000,monetizer101.com,,,,,,
31,32000,ast-innovation.ru,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
32,33000,fair.org,Let's Encrypt,7775999.0,,4096.0,65537.0,b'sha256WithRSAEncryption'
33,34000,enjin.com,"Cloudflare, Inc.",31622399.0,,256.0,,b'ecdsa-with-SHA256'
34,35000,mttnow.com,,,,,,
35,36000,usm.my,,,,,,
36,37000,tds.bid,Google Trust Services LLC,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
37,38000,cradlepoint.com,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
38,39000,marketbusinessnews.com,"Cloudflare, Inc.",31622399.0,,256.0,,b'ecdsa-with-SHA256'
39,40000,cloudplatform.fi,"Cloudflare, Inc.",31622399.0,,256.0,,b'ecdsa-with-SHA256'
40,41000,plat.fi,,,,,,
41,42000,sfist.com,"Cloudflare, Inc.",31622399.0,,256.0,,b'ecdsa-with-SHA256'
42,43000,crossword-solver.io,"Cloudflare, Inc.",31622399.0,,256.0,,b'ecdsa-with-SHA256'
43,44000,vfghe.com,,,,,,
44,45000,chub.ai,Google Trust Services LLC,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
45,46000,superteacherworksheets.com,DigiCert Inc,30931199.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
46,47000,seaofthieves.com,Microsoft Corporation,27269803.0,,2048.0,65537.0,b'sha384WithRSAEncryption'
47,48000,heownouncillor.com,Amazon,34127999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
48,49000,mappls.com,Amazon,34214399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
49,50000,localsyr.com,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
50,51000,cybcode.net,Let's Encrypt,7775999.0,,256.0,,b'ecdsa-with-SHA384'
51,52000,mobil.com,DigiCert Inc,23414399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
52,53000,aroma-zone.com,DigiCert Inc,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
53,54000,dailynayadiganta.com,Google Trust Services LLC,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
54,55000,amplimed.com.br,Sectigo Limited,31622399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
55,56000,theyworkforyou.com,Let's Encrypt,7775999.0,,4096.0,65537.0,b'sha256WithRSAEncryption'
56,57000,ssi.com.vn,GlobalSign nv-sa,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
57,58000,wwewlxdako.net,,,,,,
58,59000,paddypower.it,Google Trust Services LLC,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
59,60000,clubessential.com,"Cloudflare, Inc.",31622399.0,,256.0,,b'ecdsa-with-SHA256'
60,61000,buhl.de,DigiCert Inc,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
61,62000,dattoweb.com,,,,,,
62,63000,fiskerinc.com,"GoDaddy.com, Inc.",31613194.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
63,64000,pawrade.com,Amazon,34127999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
64,65000,fuckhardclips.com,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
65,66000,flowsense.net,,,,,,
66,67000,johnshopkins.edu,,,,,,
67,68000,cibeg.com,,,,,,
68,69000,rapgenius.com,"Cloudflare, Inc.",31622399.0,,256.0,,b'ecdsa-with-SHA256'
69,70000,pg21.ru,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
70,71000,awsdns-cn-38.com,,,,,,
71,72000,okusurinavi.shop,Google Trust Services LLC,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
72,73000,nyugat.hu,Let's Encrypt,7775999.0,,256.0,,b'ecdsa-with-SHA384'
73,74000,moya-semya.ru,,,,,,
74,75000,ilimnet.ru,GlobalSign nv-sa,34300799.0,,4096.0,65537.0,b'sha256WithRSAEncryption'
75,76000,academie-francaise.fr,"DigiCert, Inc.",33955199.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
76,77000,mandy.com,Let's Encrypt,7775999.0,,256.0,,b'ecdsa-with-SHA384'
77,78000,beetux.com,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
78,79000,laredoute.it,Google Trust Services LLC,7779532.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
79,80000,mobileverso.com.br,Google Trust Services LLC,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
80,81000,moneta.cz,DigiCert Inc,31622399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
81,82000,bitrix24site.ru,"GoDaddy.com, Inc.",34300800.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
82,83000,xnxx123.net,Google Trust Services LLC,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
83,84000,cyberresilience.io,Google Trust Services LLC,7779295.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
84,85000,neko-hentai.net,"Cloudflare, Inc.",31622399.0,,256.0,,b'ecdsa-with-SHA256'
85,86000,misterrunning.com,Sectigo Limited,31708799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
86,87000,indianxxxbf.com,Google Trust Services LLC,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
87,88000,podari-zhizn.ru,Google Trust Services LLC,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
88,89000,spectr-sb116.ru,,,,,,
89,90000,only-znakomstva.com,Let's Encrypt,7775999.0,,256.0,,b'ecdsa-with-SHA384'
90,91000,gamewatcher.com,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
91,92000,gerberchildrenswear.com,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
92,93000,ipasgo.go.gov.br,,,,,,
93,94000,uberlandia.mg.gov.br,,,,,,
94,95000,delhihighcourt.nic.in,,,,,,
95,96000,scaledagile.com,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
96,97000,theacademicpapers.co.uk,GlobalSign nv-sa,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
97,98000,charmfling.com,Google Trust Services LLC,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
98,99000,pskw.com,,,,,,
99,100000,bluesip.net,,,,,,
100,101000,qubic.li,Let's Encrypt,7775999.0,,256.0,,b'ecdsa-with-SHA384'
101,102000,iress.co.uk,Amazon,34127999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
102,103000,corp.life,,,,,,
103,104000,omp.ru,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
104,105000,kitakyushu.lg.jp,,,,,,
105,106000,gnpge.com,,,,,,
106,107000,onerpm.com,Amazon,34127999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
107,108000,hagel-shop.de,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
108,109000,hp-mns.com,DigiCert Inc,31622399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
109,110000,turismoroma.it,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
110,111000,eoi.es,GEANT Vereniging,31622399.0,,2048.0,65537.0,b'sha384WithRSAEncryption'
111,112000,oh100.com,Let's Encrypt,7775999.0,,3072.0,65537.0,b'sha256WithRSAEncryption'
112,113000,searchy.biz,,,,,,
113,114000,dzrt.com,Let's Encrypt,7775999.0,,256.0,,b'ecdsa-with-SHA384'
